EbN0_dB,EndToEndBER,HuffmanSER,TheoreticalBER
0,0.369215758853497,0.307382413087935,0.0786496035251426
1,0.368596241243116,0.229704158145876,0.0562819519765415
2,0.367670813250682,0.158496250852079,0.037506128358926
3,0.365647935843385,0.099906612133606,0.0228784075610853
4,0.363406962830316,0.0553960463531016,0.0125008180407376
5,0.3581668902251,0.0270463531015678,0.00595386714777866
6,0.346943862254396,0.0108963871847307,0.00238829078093281
7,0.32432897749402,0.00352079072937969,0.000772674815378444
8,0.258960586691691,0.000832992501704158,0.000190907774075993
9,0.0894627541219556,0.000137695978186776,3.36272284196175e-05
10,0.0182790318483446,1.84049079754601e-05,3.87210821552204e-06
11,1.02249488752556e-06,6.81663258350375e-07,2.6130679535752e-07
12,0,0,9.00601035062875e-09
13,0,0,1.33293101753005e-10
14,0,0,6.81018912878076e-13
15,0,0,9.12395736262809e-16
16,0,0,2.26739584445441e-19
17,0,0,6.75896977065469e-24
18,0,0,1.39601431090675e-29
19,0,0,1.00107397357086e-36
20,0,0,1.04424379188127e-45
